,0
799,0
800,0
801,0
802,0
803,1
804,0
805,1
806,1
807,1
808,2
809,1
810,1
811,1
812,1
813,0
814,1
815,2
816,1
817,3
818,1
819,0
820,0
821,3
822,2
823,3
824,1
825,1
826,2
827,2
828,3
829,1
830,3
831,2
832,1
833,2
834,0
835,3
836,1
837,4
838,2
839,2
840,3
841,1
842,3
843,2
844,2
845,3
846,5
847,2
848,3
849,0
850,1
851,1
852,0
853,8
854,0
855,0
856,0
857,3
858,1
859,2
860,0
861,0
862,3
863,0
864,1
865,0
866,1
867,4
868,2
869,0
870,2
871,1
872,2
873,2
874,0
875,1
876,1
877,2
878,4
879,3
880,5
881,1
882,2
883,0
884,1
885,1
886,0
887,1
888,1
889,2
890,0
891,6
892,1
893,1
894,2
895,2
896,0
897,3
898,0
899,2
900,1
901,1
902,1
903,0
904,1
905,0
906,4
907,2
908,2
909,3
910,0
911,2
912,2
913,1
914,0
915,3
916,3
917,3
918,0
919,3
920,2
921,3
922,3
923,1
924,0
925,2
926,0
927,2
928,2
929,0
930,1
931,3
932,4
933,0
934,0
935,0
936,3
937,0
938,1
939,4
940,2
941,3
942,0
943,1
944,2
945,1
946,3
947,3
948,3
949,0
950,7
951,2
952,1
953,2
954,0
955,3
956,1
957,0
958,1
959,1
960,2
961,3
962,1
963,7
964,2
965,0
966,0
967,1
968,3
969,3
970,0
971,2
972,0
973,0
974,1
975,1
976,0
977,2
978,0
979,0
980,0
981,1
982,0
983,3
984,1
985,1
986,2
987,0
988,3
989,1
990,4
991,0
992,2
993,2
994,5
995,9
996,2
997,1
998,3
999,1
1000,4
1001,0
1002,1
1003,2
1004,3
1005,1
1006,4
1007,2
1008,1
1009,1
1010,3
1011,2
1012,1
1013,1
1014,0
1015,0
1016,1
1017,2
1018,2
1019,1
1020,2
1021,0
1022,2
1023,3
1024,0
1025,0
1026,0
1027,2
1028,0
1029,1
1030,0
1031,0
1032,0
1033,0
1034,1
1035,1
1036,3
1037,2
1038,0
1039,0
1040,2
1041,1
1042,2
1043,2
1044,1
1045,3
1046,2
1047,0
1048,1
1049,4
1050,1
1051,2
1052,2
1053,3
1054,1
1055,2
1056,0
1057,0
1058,0
1059,0
1060,6
1061,4
1062,2
1063,3
1064,0
1065,2
1066,1
1067,2
1068,1
1069,0
1070,0
1071,2
1072,0
1073,1
1074,0
1075,2
1076,2
1077,2
